
 {'ts': 1690755893624, 'value': 58.9991184106063, 'response': 200, 'system_ts': 1727861941.4157023}
 {'ts': 1690748693588, 'value': 58.99278141263021, 'response': 200, 'system_ts': 1727861942.2194126}
 {'ts': 1690741493520, 'value': 58.91498428526846, 'response': 200, 'system_ts': 1727861943.023302}
 {'ts': 1690734293452, 'value': 58.91432202538029, 'response': 200, 'system_ts': 1727861943.7973237}
 {'ts': 1690727093408, 'value': 58.86354805540189, 'response': 200, 'system_ts': 1727861944.5771952}
 {'ts': 1690719892198, 'value': 58.677775055486435, 'response': 200, 'system_ts': 1727861945.3606126}
 {'ts': 1690712692755, 'value': 58.888727257077946, 'response': 200, 'system_ts': 1727861946.138967}
 {'ts': 1690705493254, 'value': 59.017622988935, 'response': 200, 'system_ts': 1727861946.9195962}
 {'ts': 1690698294903, 'value': 59.07077330793042, 'response': 200, 'system_ts': 1727861947.6988087}
 {'ts': 1690691093161, 'value': 59.093199555867685, 'response': 200, 'system_ts': 1727861948.4797418}
 {'ts': 1690683892525, 'value': 59.107366918221786, 'response': 200, 'system_ts': 1727861949.2792184}
 {'ts': 1690676692477, 'value': 59.10376988714221, 'response': 200, 'system_ts': 1727861950.0596375}
 {'ts': 1690755893624, 'value': 58.9991184106063, 'response': 200, 'system_ts': 1727862093.332926}
 {'ts': 1690748693588, 'value': 58.99278141263021, 'response': 200, 'system_ts': 1727862094.0871012}
 {'ts': 1690741493520, 'value': 58.91498428526846, 'response': 200, 'system_ts': 1727862094.8414075}
 {'ts': 1690734293452, 'value': 58.91432202538029, 'response': 200, 'system_ts': 1727862095.6224072}
 {'ts': 1690727093408, 'value': 58.86354805540189, 'response': 200, 'system_ts': 1727862096.4022613}
 {'ts': 1690719892198, 'value': 58.677775055486435, 'response': 200, 'system_ts': 1727862097.1832852}
 {'ts': 1690712692755, 'value': 58.888727257077946, 'response': 200, 'system_ts': 1727862097.963037}
 {'ts': 1690705493254, 'value': 59.017622988935, 'response': 200, 'system_ts': 1727862098.7432182}
 {'ts': 1690698294903, 'value': 59.07077330793042, 'response': 200, 'system_ts': 1727862099.525069}
 {'ts': 1690691093161, 'value': 59.093199555867685, 'response': 200, 'system_ts': 1727862100.3058941}
 {'ts': 1690683892525, 'value': 59.107366918221786, 'response': 200, 'system_ts': 1727862101.0849934}
 {'ts': 1690676692477, 'value': 59.10376988714221, 'response': 200, 'system_ts': 1727862101.8648105}
